#,开仓时间,平仓时间,交易对,方向,持仓方式,数量,开仓均价,平仓价格,已实现盈亏,手续费,手续费币种,净盈亏,计划止损价,初始风险（USDC）,MFE 最大浮盈,MAE 最大浮亏,MFE（R）,MAE（R）,净盈亏（R）,盈利兑现率,盈利回撤（USDC）,指标计算状态,开仓订单编号,平仓订单编号,复盘：市场状态,复盘：Setup 名称,复盘：Setup 情景,复盘：入场依据,复盘：信号 K 和入场触发方式,复盘：A/B/C 级机会,复盘：评估胜率,复盘：第一目标价,复盘：计划盈亏比,复盘：期望值（R）,复盘：机会分数,复盘：是否计划内交易,复盘：第二次入场时首仓盈亏,复盘：计划止损价,复盘：实际止损成交价,复盘：第一目标,复盘：结构目标,复盘：最终退出理由,复盘：冷静期 / 停手机制
54,2026/09/14 22:20:01,2026/09/14 22:21:10,BTCUSDC,多,双向,0.02,78605,78422.815,-3.6437,1.25622251,USDC,-4.89992251,78430,3.5,0,4.89992251,0,1.39997786,-1.39997786,,4.89992251,CALCULATED,[76085004015],[1000002563114298],区间,其他,,继续突破区间,,C,40%,78955,2,0.2,55,否,,78430,,,,,
55,2026/09/14 22:18:36,2026/09/14 22:19:58,BTCUSDC,空,双向,0.02,78442.2,78606.6,-3.288,1.2563904,USDC,-4.5443904,78600,,0,4.5443904,,,,,4.5443904,CALCULATED,[76084797355],[76084994506],区间,其他,,摸顶空，做三推反转,,,20%,78126.6,2,-0.4,40,否,,78600,,,,,
56,2026/09/14 22:08:13,2026/09/14 22:15:20,BTCUSDC,空,双向,0.02,78323.15,78498.385,-3.5047,0.62798707,USDC,-4.13268707,78495,3.437,1.331,4.13268707,0.387256328,1.202411135,-1.202411135,0.00%,5.46368707,CALCULATED,"[76082982483,76083465433]",[1000002563087707],区间,其他,,双顶,5m | #499 | 2026/09/14 22:00:00,,20%,77979.45,2,-0.4,40,否,亏损,78495,,,,,
57,2026/09/14 21:51:13,2026/09/14 21:59:20,BTCUSDC,空,双向,0.01,78251,78194.84,0.56159998,0.62578336,USDC,-0.06418338,78494,,2.234996,1.241004,,,,0.00%,2.29917938,CALCULATED,[76080068487],[76081546861],区间,双 K 线反转（Two-Bar Reversal）,普通逆势反转,,5m | #500 | 2026/09/14 21:50:00,C,40%,77765,2,0.2,55,是,,78494,,,,,
58,2026/09/14 18:00:18,2026/09/14 20:15:54,BTCUSDC,空,双向,0.01,78120.1,77830.9,2.892,0.3113236,USDC,2.5806764,78333,2.129,4.85,0.057,2.278064819,0.026773133,1.212154251,53.21%,2.2693236,CALCULATED,[76050074919],[76065769047],高潮 / 反转,双 K 线反转（Two-Bar Reversal）,普通逆势反转,购买高潮，双K线反转,5m | #487 | 2026/09/14 17:55:00 | 限价单,C,40%,77694.3,2,0.2,55,,,78333,,,,,
59,2026/09/14 16:34:14,2026/09/14 17:47:49,BTCUSDC,空,双向,0.01,77652.7,77970.73,-3.1803,0.62249372,USDC,-3.80279372,77951,2.983,0.8293892,3.80279372,0.278038619,1.274821897,-1.274821897,0.00%,4.63218292,CALCULATED,[76038659270],[1000002562505577],高潮 / 反转,双 K 线反转（Two-Bar Reversal）,普通逆势反转,购买高潮，突破前高失败，最后反转回来，形成双K先反转,5m | #974 | 2026/09/14 16:25:00,C,40%,77056.1,2,0.2,55,是,,77951,,,,最后在震荡后，向下突破了窄区间，被打止损,
60,2026/09/14 16:04:40,2026/09/14 16:09:55,BTCUSDC,多,双向,0.01,77683.7,77757.7,0.74,0.3110308,USDC,0.4289692,77457,2.267,1.051,0.425,0.463608293,0.187472431,0.189223291,40.82%,0.6220308,CALCULATED,[76034299143],[76035426206],区间,其他,,,,C,40%,78137.1,2,0.2,55,,,77457,,,,上升趋势线被强力突破，在回踩过程中先离场,
61,2026/09/14 14:27:46,2026/09/14 15:13:08,BTCUSDC,空,双向,0.02,77554.9,77589.6,-0.69399999,0.93104079,USDC,-1.62504078,77844,5.782,2.404676,3.468324,0.415890003,0.599848495,-0.281051674,0.00%,4.02971678,CALCULATED,"[76023302064,76024870930]",[76029564289],区间,双 K 线反转（Two-Bar Reversal）,普通逆势反转,突破前高受阻，双K线反转，形成了双顶,5m | #949 | 2026/09/14 14:15:00,C,40%,76976.7,2,0.2,55,是,盈利,77844,,,,突破了向下趋势性，回踩ema20站稳，下跌趋势终止，转为了上涨趋势,
62,2026/09/14 11:24:26,2026/09/14 14:20:06,BTCUSDC,多,双向,0.021,77610.47619,77678.81429,1.43509999,0.3106744,USDC,1.12442559,77370,5.05,4.8977,3.7648,0.969841584,0.74550495,0.222658533,22.96%,3.77327441,CALCULATED,"[76004610806,76007265768,76007688211]","[76022778110,76022869414]",区间,20 根均线缺口（20 Gap Bars Setup）,极强趋势首次触碰 20 EMA,第一次入场理由牛旗，结果往下突破，第二次为20根均线缺口，首次触碰em20均线,5m | #919 | 2026/09/14 11:40:00,A,75%,78091.42857,2,1.25,81.25,是,,77370,,,,在突破前高位置失败后，出现大阴线，收在阴线的低点附近,
63,2026/09/14 10:25:00,2026/09/14 10:31:32,BTCUSDC,空,双向,0.01,77394.7,77633.1,-2.384,0.3105324,USDC,-2.6945324,77626,2.313,0.111,2.6945324,0.047989624,1.164951319,-1.164951319,0.00%,2.8055324,CALCULATED,[75996301858],[1000002562057322],区间,其他,,区间上沿，长上影，左侧挂单入场,5m | #991 | 2026/09/14 10:25:00,A,50%,76417,4.226977951,1.613488975,90.34,是,,77626,,,,"站稳区间上沿的上方，放量突破，是真突破，回调回踩上沿没有回到交易区间[76420, 77400]里面",
64,2026/09/13 23:17:00,2026/09/14 07:56:12,BTCUSDC,多,双向,0.01,77016,76732.6,-2.834,0.3069304,USDC,-3.1409304,76500,5.16,3.854,4.48,0.746899225,0.868217054,-0.608707442,0.00%,6.9949304,CALCULATED,[75913479359],[75976073105],趋势,20 根均线缺口（20 Gap Bars Setup）,极强趋势首次触碰 20 EMA,"早盘向上突破区间，首次回踩ema20,触发做多信号",5m | #813 | 2026/09/13 23:15:00,B,75%,77659,1.246124031,0.684593023,67.11,是,,76500,,,,交易区间比较小和日波动相比较，将止盈设置为2倍区间高度，77659，最终在达到止盈点前，先触发了止损,
65,2026/09/11 23:57:21,2026/09/13 02:15:08,BTCUSDC,多,双向,0.01,77678.5,77129.3,-5.492,0.6192312,USDC,-6.1112312,77130,5.485,3.080286,8.773714,0.561583592,1.599583227,-1.114171595,0.00%,9.1915172,CALCULATED,[75647484125],[1000002559654218],高潮 / 反转,其他,,抛售高潮，区间下沿，在首次触碰ema20止盈,5m | #518 | 2026/09/11 23:50:00,,40%,78000,0.586144029,-0.365542388,40.86,是,,77130,,,,,
